"Refs","Value","Footprint","Qty","DNP"
"SW12","MX","Keyboard:MX_Hotswap_1u","1",""
"SW14","MX","Keyboard:MX_Hotswap_1u","1",""
"SW17","MX","Keyboard:MX_Hotswap_1u","1",""
"SW18","MX","Keyboard:MX_Hotswap_1u","1",""
"SW21","MX","Keyboard:MX_Hotswap_1u","1",""
"SW22","MX","Keyboard:MX_Hotswap_1u","1",""
"SW24","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW27","MX","Keyboard:MX_Hotswap_1u","1",""
"SW28","MX","Keyboard:MX_Hotswap_1u","1",""
"SW31","MX","Keyboard:MX_Hotswap_1u","1",""
"SW32","MX","Keyboard:MX_Hotswap_1u","1",""
"SW35","MX","Keyboard:MX_Hotswap_1u","1",""
"SW36","MX","Keyboard:MX_Hotswap_1u","1",""
"SW38","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW39","MX","Keyboard:MX_Hotswap_1u","1",""
"SW42","MX","Keyboard:MX_Hotswap_1u","1",""
"SW45","MX","Keyboard:MX_Hotswap_1u","1",""
"SW46","MX","Keyboard:MX_Hotswap_1u","1",""
"SW49","MX","Keyboard:MX_Hotswap_1u","1",""
"SW50","MX","Keyboard:MX_Hotswap_1u","1",""
"SW52","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW56","MX","Keyboard:MX_Hotswap_2u","1",""
"SW57","MX","Keyboard:MX_Hotswap_2.25u","1",""
"SWP2","MSK-12C02 slide switch","Keyboard:PowerSwitch_MSK12C02","1",""
"U2","XIAO nRF52840 Plus (SMD)","Keyboard:XIAO_NRF52840_PLUS","1",""
"U_LS2","SN74AHCT1G125","Keyboard:SN74AHCT1G125","1",""
"U_RGB2","TPS61023","Keyboard:TPS61023","1",""
